Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
41,"Sunday, May 22",boxscore,TOR,,CIN,L,2,3,,22-19,3,7,Díaz,García,Warren,3:17,D,"42,323",0.93,-,
42,"Monday, May 23",boxscore,TOR,@,STL,L-wo,3,7,10,22-20,3,7,Cabrera,Phelps,,3:21,N,"36,033",0.94,--,
43,"Tuesday, May 24",boxscore,TOR,@,STL,W,8,1,,23-20,3,7,Gausman,Hicks,,3:30,N,"33,797",0.89,+,
44,"Thursday, May 26",boxscore,TOR,@,LAA,W,6,3,,24-20,3,7.5,Ryu,Ohtani,,2:56,N,"28,228",1.02,++,
45,"Friday, May 27",boxscore,TOR,@,LAA,W,4,3,,25-20,3,7.5,Richards,Iglesias,Romano,3:05,N,"44,641",1.06,+++,
46,"Saturday, May 28",boxscore,TOR,@,LAA,W,6,5,,26-20,3,6.5,Cimber,Barraclough,Stripling,3:45,N,"34,005",1.07,++++,
47,"Sunday, May 29",boxscore,TOR,@,LAA,W,11,10,,27-20,3,5.5,Cimber,Quijada,Phelps,4:13,D,"36,568",1.11,+++++,
48,"Tuesday, May 31",boxscore,TOR,,CHW,W,6,5,,28-20,2,5.5,Gausman,Giolito,Romano,3:24,N,"25,424",1.1,++++++,
49,"Wednesday, Jun 1",boxscore,TOR,,CHW,W,7,3,,29-20,2,5,Stripling,Kopech,,3:14,N,"23,312",1.09,+++++++,
50,"Thursday, Jun 2",boxscore,TOR,,CHW,W,8,3,,30-20,2,5.5,Manoah,Cueto,,3:05,D,"25,250",1.09,++++++++,
51,"Friday, Jun 3",boxscore,TOR,,MIN,L,3,9,,30-21,3,6.5,Cotton,Kikuchi,,3:02,N,"27,753",1.07,-,
52,"Saturday, Jun 4",boxscore,TOR,,MIN,W,12,3,,31-21,2,6.5,Berríos,Bundy,,3:01,D,"36,987",1.07,+,
53,"Sunday, Jun 5",boxscore,TOR,,MIN,L,6,8,,31-22,2,7.5,Cotton,Gausman,Moran,3:20,D,"34,088",1.03,-,
54,"Monday, Jun 6",boxscore,TOR,@,KCR,W,8,0,,32-22,2,7,Stripling,Lynch,,2:50,N,"10,889",0.95,+,
55,"Tuesday, Jun 7",boxscore,TOR,@,KCR,W,7,0,,33-22,2,7,Manoah,Keller,,3:09,N,"15,103",1,++,
56,"Wednesday, Jun 8",boxscore,TOR,@,KCR,L,4,8,,33-23,2,7,Singer,Richards,,3:26,D,"12,196",0.95,-,
57,"Friday, Jun 10",boxscore,TOR,@,DET,W,10,1,,34-23,2,7.5,Berríos,Rodriguez,,2:50,N,"26,226",0.99,+,
58,"Saturday, Jun 11",boxscore,TOR,@,DET,L,1,3,,34-24,2,8.5,Brieske,Gausman,Soto,2:51,D,"30,738",0.93,-,
59,"Sunday, Jun 12",boxscore,TOR,@,DET,W,6,0,,35-24,2,8.5,Stripling,Skubal,,2:43,D,"29,399",0.92,+,
60,"Monday, Jun 13",boxscore,TOR,,BAL,W,11,1,,36-24,2,8,Manoah,Bradish,,3:17,N,"19,716",0.95,++,
61,"Tuesday, Jun 14",boxscore,TOR,,BAL,L,5,6,,36-25,2,9,Lyles,Kikuchi,López,3:12,N,"23,106",0.91,-,
62,"Wednesday, Jun 15",boxscore,TOR,,BAL,W-wo,7,6,10,37-25,2,9,Cimber,Bautista,,2:53,N,"19,961",0.94,+,
63,"Thursday, Jun 16",boxscore,TOR,,BAL,L,2,10,,37-26,2,10,Wells,Gausman,,2:58,D,"36,832",0.92,-,
64,"Friday, Jun 17",boxscore,TOR,,NYY,L,3,12,,37-27,2,11,Montgomery,Stripling,,3:21,N,"44,688",1.05,--,
65,"Saturday, Jun 18",boxscore,TOR,,NYY,L,0,4,,37-28,2,12,Taillon,Manoah,,3:05,D,"45,055",0.96,---,
66,"Sunday, Jun 19",boxscore,TOR,,NYY,W,10,9,,38-28,2,11,García,Peralta,Romano,3:41,D,"44,395",0.94,+,
67,"Monday, Jun 20",boxscore,TOR,@,CHW,L,7,8,,38-29,2,12,Lynn,Berríos,Kelly,2:55,N,"22,482",0.85,-,
68,"Tuesday, Jun 21",boxscore,TOR,@,CHW,L-wo,6,7,12,38-30,2,12,Velasquez,Gage,,4:23,N,"20,529",0.89,--,
69,"Wednesday, Jun 22",boxscore,TOR,@,CHW,W,9,5,,39-30,2,12,Stripling,Giolito,,3:07,D,"19,406",0.92,+,
70,"Friday, Jun 24",boxscore,TOR,@,MIL,W,9,4,,40-30,2,11.5,Manoah,Houser,,3:16,N,"32,166",0.79,++,
71,"Saturday, Jun 25",boxscore,TOR,@,MIL,L,4,5,,40-31,3,11.5,Burnes,Kikuchi,Hader,3:10,D,"34,768",0.85,-,
