Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled\
43,Wednesday May 25,boxscore,BOS,@,CHW,L,1,3,,20-23,4,10.5,Giolito,Hill,Hendriks,2:58,N,21075,.76,-,\
44,Thursday May 26,boxscore,BOS,@,CHW,W,16,7,,21-23,4,10.5,Schreiber,Keuchel,,4:02,N,24896,.71,+,\
45,Friday May 27,boxscore,BOS,,BAL,L,8,12,,21-24,4,11.5,P\'e9rez,Strahm,,3:38,N,29251,.73,-,\
46,Saturday May 28 (1),boxscore,BOS,,BAL,W,5,3,,22-24,4,11.0,Eovaldi,Akin,,2:58,D,26912,.67,+,\
47,Saturday May 28 (2),boxscore,BOS,,BAL,L,2,4,,22-25,4,11.0,Krehbiel,Winckowski,L\'f3pez,3:09,N,28491,.71,-,\
48,Sunday May 29,boxscore,BOS,,BAL,W,12,2,,23-25,4,10.0,Pivetta,Zimmermann,,3:27,D,35715,.68,+,\
49,Monday May 30,boxscore,BOS,,BAL,L,0,10,,23-26,4,10.5,Wells,Hill,,3:05,N,24809,.73,-,\
50,Tuesday May 31,boxscore,BOS,,CIN,L,1,2,,23-27,4,11.5,Castillo,Wacha,Santillan,3:04,N,28577,.65,--,\
51,Wednesday Jun 1,boxscore,BOS,,CIN,W,7,1,,24-27,4,11.0,Whitlock,Greene,,2:40,N,30219,.55,+,\
52,Friday Jun 3,boxscore,BOS,@,OAK,W,7,2,,25-27,4,12.0,Eovaldi,Kaprielian,,3:15,N,17852,.63,++,\
53,Saturday Jun 4,boxscore,BOS,@,OAK,W,8,0,,26-27,4,12.0,Pivetta,Blackburn,,3:07,D,14796,.66,+++,\
54,Sunday Jun 5,boxscore,BOS,@,OAK,W,5,2,,27-27,4,12.0,Hill,Montas,,3:01,D,12084,.72,++++,\
55,Monday Jun 6,boxscore,BOS,@,LAA,W,1,0,,28-27,4,11.5,Wacha,Syndergaard,,2:32,N,29395,.83,+++++,\
56,Tuesday Jun 7,boxscore,BOS,@,LAA,W,6,5,10,29-27,4,11.5,Houck,Barria,Strahm,3:56,N,27627,.87,++++++,\
57,Wednesday Jun 8,boxscore,BOS,@,LAA,W,1,0,,30-27,4,10.5,Eovaldi,Herget,Strahm,3:09,N,26587,.88,+++++++,\
58,Thursday Jun 9,boxscore,BOS,@,LAA,L,2,5,,30-28,4,11.5,Ohtani,Pivetta,Iglesias,3:09,N,28595,.89,-,\
59,Friday Jun 10,boxscore,BOS,@,SEA,W,4,3,,31-28,4,11.5,Diekman,Mu\'f1oz,Houck,3:48,N,27314,.88,+,\
60,Saturday Jun 11,boxscore,BOS,@,SEA,L-wo,6,7,,31-29,4,12.5,Sewald,Robles,,3:37,N,37691,.88,-,\
61,Sunday Jun 12,boxscore,BOS,@,SEA,W,2,0,,32-29,4,12.5,Danish,Sewald,Houck,2:52,D,42900,.86,+,\
62,Tuesday Jun 14,boxscore,BOS,,OAK,W,6,1,,33-29,4,12.5,Pivetta,Koenig,,2:43,N,32617,.80,++,\
63,Wednesday Jun 15,boxscore,BOS,,OAK,W,10,1,,34-29,4,12.5,Winckowski,Kaprielian,,3:08,N,31877,.85,+++,\
64,Thursday Jun 16,boxscore,BOS,,OAK,L,3,4,,34-30,4,13.5,Blackburn,Hill,Jim\'e9nez,3:15,D,30779,.83,-,\
65,Friday Jun 17,boxscore,BOS,,STL,W,6,5,,35-30,4,13.5,Wacha,Wainwright,Houck,3:05,N,35251,.82,+,\
66,Saturday Jun 18,boxscore,BOS,,STL,L,2,11,,35-31,4,14.5,Hudson,Crawford,,3:28,N,36141,.84,-,\
67,Sunday Jun 19,boxscore,BOS,,STL,W,6,4,,36-31,4,13.5,Pivetta,Pallante,Houck,3:13,D,35989,.81,+,\
68,Monday Jun 20,boxscore,BOS,,DET,W,5,2,,37-31,3,13.5,Winckowski,Faedo,Houck,2:55,N,34811,.87,++,\
69,Tuesday Jun 21,boxscore,BOS,,DET,W,5,4,,38-31,3,12.5,Hill,Brieske,Schreiber,2:53,N,29168,.86,+++,\
70,Wednesday Jun 22,boxscore,BOS,,DET,W,6,2,,39-31,3,12.5,Wacha,Skubal,,3:03,N,35180,.91,++++,\
71,Friday Jun 24,boxscore,BOS,@,CLE,W,6,3,,40-31,3,12.0,Pivetta,Shaw,,3:19,N,29106,.94,+++++,\
72,Saturday Jun 25,boxscore,BOS,@,CLE,W,4,2,,41-31,2,11.0,Winckowski,Bieber,Houck,2:55,N,27239,.96,++++++,\
73,Sunday Jun 26,boxscore,BOS,@,CLE,W,8,3,,42-31,2,11.0,Hill,Civale,,3:22,D,20663,.94,+++++++,\
74,Monday Jun 27,boxscore,BOS,@,TOR,L,2,7,,42-32,2,12.0,Gausman,Seabold,,2:59,N,25498,.99,-,\
75,Tuesday Jun 28,boxscore,BOS,@,TOR,L-wo,5,6,,42-33,3,13.0,Romano,Danish,,3:21,N,27140,.98,--,\
76,Wednesday Jun 29,boxscore,BOS,@,TOR,W,6,5,10,43-33,2,13.0,Strahm,Phelps,,3:54,N,27601,.99,+,\
77,Friday Jul 1,boxscore,BOS,@,CHC,L,5,6,,43-34,3,13.0,Hughes,Robles,Robertson,3:31,D,34931,.81,-,\
78,Saturday Jul 2,boxscore,BOS,@,CHC,L,1,3,,43-35,3,14.5,Leiter,Winckowski,Robertson,2:48,N,40298,.90,--,\
79,Sunday Jul 3,boxscore,BOS,@,CHC,W,4,2,11,44-35,2,13.5,Diekman,Wick,,4:25,D,40185,.84,+,\
80,Monday Jul 4,boxscore,BOS,,TBR,W,4,0,,45-35,2,13.0,Crawford,Fleming,Schreiber,2:57,D,36473,.98,++,\
81,Tuesday Jul 5,boxscore,BOS,,TBR,L,4,8,,45-36,2,13.0,Thompson,Pivetta,,3:39,N,31113,.94,-,\
82,Wednesday Jul 6,boxscore,BOS,,TBR,L,1,7,,45-37,2,14.0,Kluber,Bello,,3:05,N,33735,.99,--,\
83,Thursday Jul 7,boxscore,BOS,,NYY,L,5,6,,45-38,3,15.0,Cole,Winckowski,Holmes,2:56,N,36876,.90,---,\
84,Friday Jul 8,boxscore,BOS,,NYY,L,5,12,,45-39,3,16.0,Castro,Seabold,Luetge,3:51,N,36841,.88,----,\
85,Saturday Jul 9,boxscore,BOS,,NYY,W-wo,6,5,10,46-39,2,15.0,Diekman,Peralta,,3:38,N,36945,.89,+,\
86,Sunday Jul 10,boxscore,BOS,,NYY,W,11,6,,47-39,2,14.0,Sawamura,Chapman,,3:32,N,37291,.91,++,\
87,Monday Jul 11,boxscore,BOS,@,TBR,L,5,10,,47-40,2,14.5,Bard,Diekman,,3:31,N,10629,.98,-,\
88,Tuesday Jul 12,boxscore,BOS,@,TBR,L,2,3,,47-41,3,14.5,Kluber,Strahm,Raley,2:49,N,10653,.98,--,\
89,Wednesday Jul 13,boxscore,BOS,@,TBR,L,1,4,,47-42,3,15.5,McClanahan,Winckowski,Poche,2:30,N,10458,1.00,---,\
90,Thursday Jul 14,boxscore,BOS,@,TBR,L,4,5,,47-43,3,15.5,Romero,Schreiber,Beeks,2:45,N,11998,1.01,----,\
91,Friday Jul 15,boxscore,BOS,@,NYY,W,5,4,11,48-43,3,14.5,Houck,King,Brasier,4:00,N,47573,.89,+,\
92,Saturday Jul 16,boxscore,BOS,@,NYY,L,1,14,,48-44,4,15.5,Taillon,Pivetta,Weber,3:09,N,47997,.92,-,\
93,Sunday Jul 17,boxscore,BOS,@,NYY,L,2,13,,48-45,4,16.5,Cole,Sale,,3:32,D,47958,.89,--,\
94,Friday Jul 22,boxscore,BOS,,TOR,L,5,28,,48-46,4,16.5,Gausman,Eovaldi,,3:49,N,36796,.93,---,\
95,Saturday Jul 23,boxscore,BOS,,TOR,L,1,4,,48-47,4,16.5,Manoah,Crawford,Romano,3:09,D,35821,.90,----,\
96,Sunday Jul 24,boxscore,BOS,,TOR,L,4,8,,48-48,4,17.5,Mayza,Bello,,3:33,D,34404,.86,-----,\
97,Monday Jul 25,boxscore,BOS,,CLE,W,3,1,,49-48,4,17.0,Schreiber,Plesac,Whitlock,3:03,N,32529,.77,+,\
98,Tuesday Jul 26,boxscore,BOS,,CLE,L,3,8,,49-49,5,17.0,McCarty,Winckowski,,3:20,N,32483,.81,-,\
99,Wednesday Jul 27,boxscore,BOS,,CLE,L,6,7,,49-50,5,17.0,De\'a0Los\'a0Santos,Houck,Clase,3:02,N,32919,.71,--,\
100,Thursday Jul 28,boxscore,BOS,,CLE,W,4,2,,50-50,5,17.0,Diekman,McKenzie,Whitlock,2:33,N,32122,.65,+,\
101,Friday Jul 29,boxscore,BOS,,MIL,L,1,4,,50-51,5,18.0,Woodruff,Bello,Hader,3:27,N,34193,.68,-,\
102,Saturday Jul 30,boxscore,BOS,,MIL,L,4,9,,50-52,5,19.0,Lauer,Pivetta,,3:49,D,35867,.61,--,\
103,Sunday Jul 31,boxscore,BOS,,MIL,W,7,2,,51-52,5,18.0,Winckowski,Ashby,,2:58,D,35231,.54,+,\
104,Monday Aug 1,boxscore,BOS,@,HOU,W,3,2,,52-52,5,18.0,Eovaldi,Garcia,Houck,3:02,N,35185,.62,++,\
105,Tuesday Aug 2,boxscore,BOS,@,HOU,W,2,1,,53-52,5,17.0,Crawford,Javier,Houck,2:59,N,31229,.68,+++,\
106,Wednesday Aug 3,boxscore,BOS,@,HOU,L,1,6,,53-53,5,17.0,Urquidy,Hill,,2:42,D,32295,.74,-,\
107,Thursday Aug 4,boxscore,BOS,@,KCR,L,3,7,,53-54,5,17.5,Clarke,Hern\'e1ndez,,3:04,N,18970,.65,--,\
108,Friday Aug 5,boxscore,BOS,@,KCR,W,7,4,,54-54,5,16.5,Winckowski,Greinke,,3:44,N,21246,.59,+,\
109,Saturday Aug 6,boxscore,BOS,@,KCR,L-wo,4,5,,54-55,5,16.5,Coleman,Whitlock,,2:44,N,19136,.67,-,\
110,Sunday Aug 7,boxscore,BOS,@,KCR,L,5,13,,54-56,5,16.5,Keller,Crawford,,3:00,D,14949,.57,--,\
111,Tuesday Aug 9,boxscore,BOS,,ATL,L,7,9,11,54-57,5,17.0,Lee,Ort,Matzek,4:13,N,34972,.50,---,\
112,Wednesday Aug 10,boxscore,BOS,,ATL,L,4,8,,54-58,5,17.0,Wright,Pivetta,,3:06,N,35406,.45,----,\
113,Thursday Aug 11,boxscore,BOS,,BAL,W,4,3,,55-58,5,16.5,Davis,Kremer,Schreiber,2:46,N,33927,.44,+,\
114,Friday Aug 12,boxscore,BOS,,NYY,W-wo,3,2,10,56-58,5,15.5,Whitlock,Trivino,,3:24,N,36434,.45,++,\
115,Saturday Aug 13,boxscore,BOS,,NYY,L,2,3,,56-59,5,16.5,Chapman,Schreiber,Effross,3:14,N,36672,.51,-,\
116,Sunday Aug 14,boxscore,BOS,,NYY,W,3,0,,57-59,5,15.5,Wacha,Taillon,Whitlock,2:15,N,36581,.42,+,\
117,Tuesday Aug 16,boxscore,BOS,@,PIT,W,5,3,,58-59,5,14.0,Pivetta,Keller,Barnes,2:37,N,19387,.45,++,\
118,Wednesday Aug 17,boxscore,BOS,@,PIT,W,8,3,,59-59,5,14.0,Hill,Contreras,,2:43,N,15231,.51,+++,\
119,Thursday Aug 18,boxscore,BOS,@,PIT,L,2,8,,59-60,5,14.0,Brubaker,Winckowski,,2:37,N,20991,.57,-,\
120,Friday Aug 19,boxscore,BOS,@,BAL,L,10,15,,59-61,5,14.0,Vespi,Crawford,,4:06,N,33136,.58,--,\
