Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
2024-03-28,ARI,Home,COL,W,16.0,1.0,9.0,1-0,1.0,Tied,Gallen,Freeland,None,2:37,N,49011.0,.98,1.0,
2024-03-29,ARI,Home,COL,W,7.0,3.0,9.0,2-0,1.0,Tied,Kelly,Quantrill,None,2:36,N,29480.0,1.00,2.0,
2024-03-30,ARI,Home,COL,L,4.0,9.0,9.0,2-1,1.0,Tied,Lambert,Henry,None,3:17,N,32133.0,1.06,-1.0,
2024-03-31,ARI,Home,COL,W,5.0,1.0,9.0,3-1,1.0,Tied,Pfaadt,Feltner,None,2:22,D,21824.0,1.00,1.0,
2024-04-01,ARI,Home,NYY,L,2.0,5.0,9.0,3-2,2.0,1.0,Weaver,Nelson,González,2:59,N,38608.0,.97,-1.0,
2024-04-02,ARI,Home,NYY,W,7.0,0.0,9.0,4-2,2.0,1.0,Gallen,Cortés,None,2:27,N,39863.0,.93,1.0,
2024-04-03,ARI,Home,NYY,L,5.0,6.0,11.0,4-3,2.0,2.0,Holmes,McGough,Ferguson,3:04,D,35038.0,.98,-1.0,
2024-04-05,ARI,@,ATL,L-wo,5.0,6.0,10.0,4-4,2.0,2.0,Johnson,McGough,None,3:10,N,41426.0,.98,-2.0,
2024-04-06,ARI,@,ATL,L,8.0,9.0,9.0,4-5,2.0,3.0,Minter,Frías,Iglesias,2:49,N,41278.0,.95,-3.0,
2024-04-07,ARI,@,ATL,L,2.0,5.0,9.0,4-6,2.0,3.0,Sale,Nelson,Johnson,2:30,D,40693.0,.93,-4.0,
2024-04-08,ARI,@,COL,L,5.0,7.0,9.0,4-7,3.0,4.0,Lambert,McGough,Bird,3:07,N,18870.0,.90,-5.0,
2024-04-09,ARI,@,COL,W,3.0,2.0,9.0,5-7,2.0,4.0,Kelly,Quantrill,Ginkel,2:38,N,19359.0,.87,1.0,
2024-04-10,ARI,@,COL,W,5.0,3.0,9.0,6-7,2.0,3.0,Mantiply,Lawrence,Ginkel,2:53,D,18311.0,.92,2.0,
2024-04-12,ARI,Home,STL,L,6.0,9.0,9.0,6-8,3.0,3.0,Gallegos,Mantiply,Helsley,2:44,N,29247.0,.94,-1.0,
2024-04-13,ARI,Home,STL,W,4.0,2.0,9.0,7-8,2.0,3.0,Nelson,Gibson,Ginkel,2:22,N,33640.0,.88,1.0,
2024-04-14,ARI,Home,STL,W,5.0,0.0,9.0,8-8,2.0,2.0,Gallen,Mikolas,None,2:29,D,26460.0,.91,2.0,
2024-04-15,ARI,Home,CHC,L,2.0,3.0,11.0,8-9,3.0,2.0,Thompson,Jarvis,None,3:16,N,24468.0,.95,-1.0,
2024-04-16,ARI,Home,CHC,W-wo,12.0,11.0,10.0,9-9,3.0,2.0,Ginkel,Smyly,None,3:38,N,26426.0,.94,1.0,
2024-04-17,ARI,Home,CHC,L,3.0,5.0,9.0,9-10,3.0,2.0,Wesneski,Pfaadt,None,2:26,D,26567.0,.96,-1.0,
2024-04-18,ARI,@,SFG,L,0.0,5.0,9.0,9-11,3.0,2.5,Webb,Allen,None,2:12,N,26896.0,.94,-2.0,
2024-04-19,ARI,@,SFG,W,17.0,1.0,9.0,10-11,3.0,1.5,Montgomery,Snell,None,3:00,N,33921.0,.91,1.0,
2024-04-20,ARI,@,SFG,L,3.0,7.0,9.0,10-12,3.0,1.5,Walker,Gallen,None,2:34,D,31063.0,1.01,-1.0,
2024-04-21,ARI,@,SFG,W,5.0,3.0,9.0,11-12,3.0,1.5,Cecconi,Miller,Ginkel,2:40,D,35922.0,.96,1.0,
2024-04-22,ARI,@,STL,L-wo,3.0,5.0,9.0,11-13,3.0,2.0,Helsley,Thompson,None,2:30,N,33036.0,.95,-1.0,
2024-04-23,ARI,@,STL,W,14.0,1.0,9.0,12-13,3.0,2.0,Henry,Matz,Allen,2:37,N,32875.0,.88,1.0,
